PRP$	16
VBG	19
VBD	36
VBN	22
VBP	17
WDT	3
JJ	63
WP	1
VBZ	23
DT	83
RP	2
NN	118
FW	2
TO	18
PRP	21
RB	33
NNS	31
NNP	94
VB	21
WRB	10
CC	27
RBR	4
CD	12
EX	3
IN	102
MD	3
NNPS	0
JJR	0
