,0,1
446,website,20
447,major,20
448,killed,20
449,announced,20
450,problem,20
451,continued,20
452,forward,20
453,word,20
454,hand,20
455,pay,20
456,act,20
457,business,20
458,history,20
459,feature_ngram_fact_,20
460,reportedly,20
461,decided,20
462,fear,20
463,race,20
464,signed,20
465,international,20
466,officials,20
467,action,20
468,response,20
469,saw,20
470,defend,20
471,barack,20
472,sexual,20
473,mccain,20
474,wednesday,20
475,senator,20
476,earlier,20
477,non,20
478,approximately,20
479,chief,20
480,cover,20
481,allah,20
482,calling,20
483,shot,20
484,project,20
485,page,20
486,lady,20
487,north,20
488,kelly,20
489,wikileaks,20
490,christmas,19
491,month,19
492,attacks,18
493,turn,18
494,bathroom,18
495,enforcement,18
496,elected,18
497,light,18
498,candidate,18
499,leaders,18
500,electoral,18
501,instead,18
502,attention,18
503,won,18
504,event,18
505,second,18
506,road,18
507,team,18
508,service,18
509,families,18
510,political,18
511,likely,18
512,fired,18
513,big,18
514,orders,18
515,_comments,18
516,islam,18
517,anti,18
518,course,18
519,hotline,18
520,release,18
521,protect,18
522,feature_ngram_america_,18
523,t_want,18
524,feature_ngram_family_,18
525,received,18
526,paul,18
527,discovered,18
528,straight,18
529,needs,18
530,needed,18
531,legislation,18
532,looks,18
533,especially,18
534,supreme,18
535,democrat,18
536,identified,18
537,based,18
538,spoke,18
539,incident,18
540,thinking,18
541,african,18
542,crimes,18
543,_want,18
544,tuesday,18
545,poor,18
546,sorry,18
547,lie,18
548,answer,18
549,food,18
550,apparently,18
551,feature_ngram_facebook_,18
552,hospital,18
553,lot,18
554,co,18
555,couple,18
556,confirmed,18
557,gave,18
558,arrest,18
559,awan,18
560,caught,18
561,social,18
562,jehovah,18
563,pulled,18
564,taxes,18
565,don,18
566,type,18
567,currency,18
568,site,18
569,terrorism,18
570,mind,18
571,voted,18
572,certain,18
573,murdered,18
574,located,18
575,residence,18
576,reilly,18
577,nasa,18
578,feature_ngram_house_,17
579,2012,17
580,feature_ngram_day_,17
